time,c8y_Acceleration.accelerationX,c8y_Acceleration.accelerationY,c8y_Acceleration.accelerationZ,label
2023-04-03T09:37:05.500+02:00,-0.0738525390625,0.5504302978515625,0.82275390625,moving
2023-04-03T09:36:30.500+02:00,-0.036346435546875,0.0469818115234375,1.2482452392578125,moving
2023-04-03T09:37:48.000+02:00,1.020660400390625,0.2431640625,0.65325927734375,moving
2023-04-03T09:25:56.000+02:00,0.0109405517578125,0.02288818359375,0.997894287109375,sitting
2023-04-03T09:24:27.000+02:00,0.0103912353515625,0.02398681640625,0.998016357421875,sitting
2023-04-03T09:23:40.500+02:00,0.009552001953125,0.02362060546875,0.9967498779296876,sitting
2023-04-03T09:25:58.500+02:00,0.010894775390625,0.0235595703125,0.9972686767578124,sitting
2023-04-03T09:35:33.000+02:00,0.3242645263671875,0.3312835693359375,-0.8428497314453125,moving
2023-04-03T09:36:22.500+02:00,0.302276611328125,0.95098876953125,0.20050048828125,moving
2023-04-03T09:37:09.500+02:00,-0.023223876953125,0.319122314453125,1.0140838623046875,moving
2023-04-03T09:37:32.000+02:00,-0.1816558837890625,0.2269439697265625,0.9652099609375,moving
2023-04-03T09:35:04.500+02:00,0.2604522705078125,-0.344970703125,1.1439208984375,moving
2023-04-03T09:25:18.000+02:00,0.0107879638671875,0.0239715576171875,0.9989166259765624,sitting
2023-04-03T09:23:50.500+02:00,0.0087127685546875,0.0223541259765625,0.9966583251953124,sitting
2023-04-03T09:36:24.000+02:00,0.8316802978515625,0.3983306884765625,-0.659912109375,moving
2023-04-03T09:35:12.000+02:00,0.3885650634765625,0.12554931640625,0.9136505126953124,moving
2023-04-03T09:25:31.000+02:00,0.0117645263671875,0.0234375,0.996368408203125,sitting
2023-04-03T09:25:05.000+02:00,0.010040283203125,0.0241851806640625,0.9991455078125,sitting
2023-04-03T09:24:22.500+02:00,0.0102386474609375,0.0241241455078125,0.9975738525390624,sitting
2023-04-03T09:37:02.500+02:00,-0.34820556640625,-0.0443115234375,0.9268798828125,moving
2023-04-03T09:23:19.500+02:00,0.00897216796875,0.0236358642578125,0.9971923828125,sitting
2023-04-03T09:23:54.500+02:00,0.010650634765625,0.023956298828125,0.9969940185546876,sitting
2023-04-03T09:38:06.500+02:00,0.02044677734375,0.020599365234375,0.9965362548828124,moving
2023-04-03T09:35:44.000+02:00,0.2274322509765625,0.42523193359375,0.4070281982421875,moving
2023-04-03T09:24:30.500+02:00,0.009490966796875,0.02301025390625,0.9974365234375,sitting
2023-04-03T09:35:11.000+02:00,-1.0530242919921875,0.612945556640625,-0.273681640625,moving
2023-04-03T09:25:44.500+02:00,0.0107269287109375,0.023468017578125,0.9972686767578124,sitting
2023-04-03T09:24:46.500+02:00,0.0099945068359375,0.02392578125,0.9974517822265624,sitting
2023-04-03T09:25:02.000+02:00,0.0122222900390625,0.0242462158203125,0.9979248046875,sitting
2023-04-03T09:23:48.500+02:00,0.009246826171875,0.024627685546875,0.9982452392578124,sitting
2023-04-03T09:24:49.000+02:00,0.01055908203125,0.0243682861328125,0.9960174560546876,sitting
2023-04-03T09:23:39.000+02:00,0.0086517333984375,0.0240936279296875,0.997100830078125,sitting
2023-04-03T09:36:39.500+02:00,-0.42376708984375,-0.0465240478515625,0.8412322998046875,moving
2023-04-03T09:23:59.000+02:00,0.009124755859375,0.0229644775390625,0.9973602294921876,sitting
2023-04-03T09:38:04.000+02:00,0.1827545166015625,-0.0003204345703125,1.003204345703125,moving
2023-04-03T09:35:31.000+02:00,0.2645263671875,0.4810638427734375,-0.145416259765625,moving
2023-04-03T09:36:01.000+02:00,0.8507537841796875,-0.306976318359375,-0.8420257568359375,moving
2023-04-03T09:35:01.000+02:00,0.677215576171875,0.1974945068359375,0.8909912109375,moving
2023-04-03T09:24:17.500+02:00,0.0087432861328125,0.0247955322265625,0.9959564208984376,sitting
2023-04-03T09:36:37.000+02:00,-0.192596435546875,0.2436981201171875,0.8464508056640625,moving
2023-04-03T09:23:16.500+02:00,0.0091705322265625,0.0232696533203125,0.997222900390625,sitting
2023-04-03T09:25:09.500+02:00,0.0096282958984375,0.0230712890625,0.9972381591796876,sitting
2023-04-03T09:35:01.500+02:00,0.0571441650390625,-0.2693634033203125,1.0627899169921875,moving
2023-04-03T09:23:38.000+02:00,0.0101318359375,0.0243072509765625,0.9965667724609376,sitting
2023-04-03T09:35:52.000+02:00,0.280303955078125,0.43463134765625,0.178131103515625,moving
2023-04-03T09:23:32.500+02:00,0.008697509765625,0.023468017578125,0.99786376953125,sitting
2023-04-03T09:37:39.000+02:00,-0.208404541015625,0.1207122802734375,1.302642822265625,moving
2023-04-03T09:35:35.500+02:00,0.2692413330078125,0.448089599609375,0.1031951904296875,moving
2023-04-03T09:23:05.000+02:00,0.010345458984375,0.0242462158203125,0.9964752197265624,sitting
2023-04-03T09:35:18.500+02:00,0.0988006591796875,-0.1747283935546875,0.9937896728515624,moving
2023-04-03T09:23:33.000+02:00,0.0085906982421875,0.0245208740234375,0.9966278076171876,sitting
2023-04-03T09:24:00.000+02:00,0.0102081298828125,0.0249481201171875,0.9956207275390624,sitting
2023-04-03T09:38:11.500+02:00,0.019775390625,0.0186920166015625,0.9972076416015624,moving
2023-04-03T09:24:39.500+02:00,0.0103607177734375,0.024505615234375,0.9990081787109376,sitting
2023-04-03T09:35:17.500+02:00,0.014801025390625,0.038177490234375,1.0409088134765625,moving
2023-04-03T09:36:27.500+02:00,0.668609619140625,0.507568359375,0.1784210205078125,moving
